title,authors
Which photodiode to use: a comparison of CMOS-compatible structures,"Murari et al. 2009. IEEE Sensors Journal vol. 9, no. 7: 752-760."
Design and characterization of a miniaturized epi-illuminated microscope,Murari et al. 2009.
Low-voltage high CMRR OTA for electrophysiological measurements,"Mitra, Zele, and Etienne-Cummings. 2009."
A switched capacitor implementation of the generalized linear integrate-and-fire neuron,Folowosele et al. 2009.
A CMOS switched capacitor implementation of the Mihalas-Niebur neuron,"Folowosele, Etienne-Cummings, and Hamilton. 2009."
Focal-plane change triggered video compression for low-power vision sensor systems,"Chi, Etienne-Cummings, and Cauwenberghs. 2009. PloS one vol. 4, no. 7: e6384."
A silicon central pattern generator controls locomotion in vivo,"Vogelstein et al. 2008. IEEE transactions on biomedical circuits and systems vol. 2, no. 3: 212-222."
Biomorphic circuits and systems: Control of robotic and prosthetic limbs,Tenore and Etienne-Cummings. 2008.
The feeling of color: A haptic feedback device for the visually disabled,Tapson et al. 2008.
A two-neuron cross-correlation circuit with a wide and continuous range of time delay,Tapson et al. 2008.
A First-Order Non-Homogeneous Markov Model for the Response of Spiking Neurons Stimulated by Small Phase-Continuous Signals,Tapson et al. 2008. arXiv preprint arXiv:0807.1513.
Continuous decoding of finger position from surface EMG signals for the control of powered prostheses,Smith et al. 2008.
Towards control of dexterous hand manipulations using a silicon Pattern Generator,Russell et al. 2008.
Practical considerations for the use of a Howland current source for neuro-stimulation,"Pouliquen, Vogelstein, and Etienne-Cummings. 2008."
Configuring silicon neural networks using genetic algorithms,Orchard et al. 2008.
Real-time silicon implementation of V1 in hierarchical visual information processing,"Folowosele, Vogelstein, and Etienne-Cummings. 2008."
Implementing a neuromorphic cross-correlation engine with silicon neurons,Folowosele et al. 2008.
Adaptive hysteretic comparator with opamp threshold level setting,Ekekwe and Etienne-Cummings. 2008.
A wide speed range and high precision position and velocity measurements chip with serial peripheral interface,"Ekekwe, Etienne-Cummings, and Kazanzides. 2008. INTEGRATION, the VLSI journal vol. 41, no. 2: 297-305."
A 5-bits precision CMOS bandgap reference with on-chip bi-directional resistance trimming,Ekekwe and Etienne-Cummings. 2008.
Finite element modeling of tissue for optimal ultrasonic transducer array design,"Clarke, White, and Etienne-Cummings. 2008."
Image sensor with focal plane change event driven video compression,"Chi, Etienne-Cummings, and Cauwenberghs. 2008."
A size and position invariant event-based human posture recognition algorithm,Chen et al. 2008.
"Correction to"" Asynchronous Decoding of Dexterous Finger Movements Using M1 Neurons""[Feb 08 3-14]","Aggarwal et al. 2008. IEEE Transactions on Neural Systems and Rehabilitation Engineering vol. 16, no. 4: 421-421."
Asynchronous decoding of dexterous finger movements using M1 neurons,"Aggarwal et al. 2008. IEEE Transactions on Neural Systems and Rehabilitation Engineering vol. 16, no. 1: 3-14."
Decoding individuated finger movements using volume-constrained neuronal ensembles in the M1 hand area,"Acharya et al. 2008. IEEE Transactions on Neural Systems and Rehabilitation Engineering vol. 16, no. 1: 15-23."
Wireless systems could improve neural prostheses,"Folowosele, Tapson, and Etienne-Cummings. 2007. SPIE Newsroom vol. 10."
Two transistor current mode active pixel sensor,Gruev et al. 2007.
Wireless address event representation system for biological sensor networks (Invited Paper)[6592-04],"Folowosele, Tapson, and Etienne-Cummings. 1970. PROCEEDINGS-SPIE THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING vol. 6592."
CMOS imagers: from phototransduction to image processing,Yadid-Pecht and Etienne-Cummings. 2007.
A multichip neuromorphic system for spike-based visual information processing,"Vogelstein et al. 2007. Neural computation vol. 19, no. 9: 2281-2300."
Towards the control of individual fingers of a prosthetic hand using surface EMG signals,Tenore et al. 2007.
Sensor-based dynamic control of the central pattern generator for locomotion,"Tenore, Vogelstein, and Etienne-Cummings. 2007."
A simple neural cross-correlation engine,Tapson and Etienne-Cummings. 2007.
Configuring of spiking central pattern generator networks for bipedal walking using genetic algorthms,"Russell, Orchard, and Etienne-Cummings. 2007."
Linear current-mode active pixel sensor,"Philipp et al. 2007. IEEE Journal of Solid-State Circuits vol. 42, no. 11: 2482-2491."
AER auditory filtering and CPG for robot control,Gomez-Rodriguez et al. 2007.
Wireless address event representation system for biological sensor networks,"Folowosele, Tapson, and Etienne-Cummings. 2007."
Spike-based MAX networks for nonlinear pooling in hierarchical vision processing,"Folowosele, Vogelstein, and Etienne-Cummings. 2007."
Incremental encoder based position and velocity measurements vlsi chip with serial peripheral interface,"Ekekwe, Etienne-Cummings, and Kazanzides. 2007."
A robust multi-application automatic gain control chip,Ekekwe and Etienne-Cummings. 2007.
Design and Optimization of a Capacitive Micromachined Ultrasonic Transducer Micro-Array for Near Field Sensing,"Clarke, White, and Etienne-Cummings. 2007."
Video sensor node for low-power ad-hoc wireless networks,Chi et al. 2007.
Optical flow approximation of sub-pixel accurate block matching for video coding,"Chi, Tran, and Etienne-Cummings. 2007."
ISCAS Special Session Demo: Wireless Video Sensor for Ad-hoc Networks,Chi et al. 2007.
CMOS camera with in-pixel temporal change detection and ADC,"Chi et al. 2007. IEEE Journal of Solid-State Circuits vol. 42, no. 10: 2187-2196."
Non-Linear Neural Spike Train Decoding via Polynomial Kernel Regression,Cassidy and Etienne-Cummings. 2007.
Towards a brain-computer interface for dexterous control of a multi-fingered prosthetic hand,Acharya et al. 2007.
Image sensor with general spatial processing in a 3D integrated circuit technology,Gruev et al. 2006.
Phase-dependent effects of spinal cord stimulation on locomotor activity,"Vogelstein et al. 2006. IEEE Transactions on Neural Systems and Rehabilitation Engineering vol. 14, no. 3: 257-265."
Dynamic control of spinal locomotion circuits,Vogelstein et al. 2006.
Control of the spinal cord by an analog VLSI device: on the road to development of a neuroprosthetic device for spinal cord injury patients,"Vogelstein, Etienne-Cummings, and Cohen. 2006. Dynamical principles for neuroscience and intelligent biomimetic devices."
A floating-gate programmable array of silicon neurons for central pattern generating networks,Tenore et al. 2006.
A second-generation single-chip stereo imager,Philipp and Etienne-Cummings. 2006.
A 128 x128 33mW 30frames/s single-chip stereo imager,Philipp and Etienne-Cummings. 2006.
